STATE,MONTH,GENERATION (Megawatthours)
IL,1,16076960.0
IL,2,14948152.0
IL,3,13382767.0
IL,4,13213964.0
IL,5,14946614.0
IL,6,15858483.0
IL,7,16763648.0
IL,8,17421598.0
IL,9,14611663.0
IL,10,13568904.0
IL,11,14946239.0
IL,12,16120385.0
IN,1,8955452.0
IN,2,9689686.0
IN,3,6942998.0
IN,4,6260580.0
IN,5,6954827.0
IN,6,8713096.0
IN,7,9542500.0
IN,8,10146852.0
IN,9,7625954.0
IN,10,6589878.0
IN,11,5871717.0
IN,12,7271621.0
MI,1,10493567.0
MI,2,10149999.0
MI,3,9505374.0
MI,4,8005531.0
MI,5,7680196.0
MI,6,10027018.0
MI,7,10404736.0
MI,8,10995383.0
MI,9,9307215.0
MI,10,9744103.0
MI,11,9964658.0
MI,12,9767603.0
OH,1,10970555.0
OH,2,10270242.0
OH,3,10088728.0
OH,4,8148725.0
OH,5,8505276.0
OH,6,10077657.0
OH,7,11850940.0
OH,8,12035354.0
OH,9,10372758.0
OH,10,10527011.0
OH,11,10180769.0
OH,12,10307598.0
WI,1,5875401.0
WI,2,5605713.0
WI,3,5384497.0
WI,4,4873011.0
WI,5,5103979.0
WI,6,6154103.0
WI,7,6818142.0
WI,8,6853120.0
WI,9,5195281.0
WI,10,4561757.0
WI,11,4314388.0
WI,12,4739287.0
