State,State Code,GENERATION (Megawatthours)
Alaska,AK,5943530.0
Alabama,AL,142955133.0
Arkansas,AR,60230137.0
Arizona,AZ,108608535.0
California,CA,196727116.0
Colorado,CO,56737727.0
Connecticut,CT,44123575.0
District of Columbia,DC,218241.0
Delaware,DE,4039976.0
Florida,FL,244401038.0
Georgia,GA,126530745.0
Hawaii,HI,9188089.0
Iowa,IA,66120266.0
Idaho,ID,16948581.0
Illinois,IL,181859377.0
Indiana,IN,94565161.0
Kansas,KS,56745956.0
Kentucky,KY,70554259.0
Louisiana,LA,98061967.0
Massachusetts,MA,19366993.0
Maryland,MD,39719296.0
Maine,ME,10952775.0
Michigan,MI,116045383.0
Minnesota,MN,59628025.0
Missouri,MO,77815983.0
Mississippi,MS,68713324.0
Montana,MT,24466637.0
North Carolina,NC,131262686.0
North Dakota,ND,42705232.0
Nebraska,NE,38644643.0
New Hampshire,NH,17434999.0
New Jersey,NJ,61386527.0
New Mexico,NM,35271296.0
Nevada,NV,41880191.0
New York,NY,125226026.0
Ohio,OH,123335613.0
Oklahoma,OK,80564122.0
Oregon,OR,61081837.0
Pennsylvania,PA,241648365.0
Rhode Island,RI,8035017.0
South Carolina,SC,99924409.0
South Dakota,SD,17834631.0
Tennessee,TN,81478887.0
Texas,TX,483561769.0
Utah,UT,42656775.0
Virginia,VA,94309019.0
Vermont,VT,2147738.0
Washington,WA,109122726.0
Wisconsin,WI,65478679.0
West Virginia,WV,65630564.0
Wyoming,WY,43650676.0
